"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"D12","D","13.9.2022 Umstellung Sipcall-Anschluss auf neue Kennung (Ticket #143)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","05.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P57","W","13"" A1342 2009 2010 Top Case Palmrest & Keyboard Fr original for Macbook","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","150.00","0.00","69.68","0.00","0.00","0 kg","","","","29.04.2015","","","","","","05.01.2009","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"P57","W","13"" A1342 2009 2010 Top Case Palmrest & Keyboard Fr original for Macbook","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","149.63","0.00","69.68","0.00","0.00","0 kg","","","","02.06.2015","","","","","","05.01.2009","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"P57","W","13"" A1342 2009 2010 Top Case Palmrest & Keyboard Fr original for Macbook","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","150.00","0.00","69.68","0.00","0.00","0 kg","","","","15.07.2015","","","","","","05.01.2009","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"P57","W","13"" A1342 2009 2010 Top Case Palmrest & Keyboard Fr original for Macbook","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","150.00","0.00","69.68","0.00","0.00","0 kg","","","","27.07.2015","","","","","","05.01.2009","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","14.10. 2022 Neues Benutzerkonto Debitor eingerichtet und Fehler wegen Auftrag 3818 behoben","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","28.10.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","14./15./20./21.6.Support Karel Kulhavy: Arbeit an Performanceproblemen beim LTSP-Server, lts.conf-Einstellung, ACL-Einstellungen (Verrechnung 5.25 statt 10.5 Stunden)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0 kg","","","","15.07.2011","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
