"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"003950","W","ATI 102 A520 (B)","","","","","","","0","0","Stck","0.00","0.00","120.00","0.00","0.00","0.00","0.00","0.8 kg","","","","","","","","","","28.11.2019","ja","0.00","0.00","0.00","","ATI","240","135","32","disableit","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004685","W","ATI 102-A771, 256MB","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500 kg","","","","","","","","","","04.05.2022","ja","0.00","0.00","0.00","","ATI","18.0000","8.0000","2.0000","","","","","","","",""
"004685","W","ATI 102-A771, 256MB","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500 kg","","","","","","","","","","24.06.2023","ja","0.00","0.00","0.00","","ATI","180","80","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003888","W","ATI-102-A924(B)","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ATI","178","57","90","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006259","W","ATI-102-B17002(B)","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.155 kg","","","","","","","","","","22.02.2024","ja","0.00","0.00","0.00","","ATI","180","70","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003883","W","ATI-102-B40306(B)2260","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.2 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ATI","175","120","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006255","W","ATI-102-C24602(B)","","","","","","","2","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.19 kg","","","","","","","","","","22.02.2024","ja","0.00","0.00","0.00","","ATI","170","115","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006253","W","ATI-102-c33402-b","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","160 kg","","","","","","","","","","20.02.2024","ja","0.00","0.00","0.00","","ATI","170","70","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006287","W","ATI 109-30200-00 mach64","","","","","","","1","0","Stck","0.00","0.00","20.00","20.00","0.00","0.00","0.00","0.15 kg","","","","","","","","","","29.02.2024","ja","0.00","0.00","0.00","","ATI","180","110","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","20.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006657","W","ATi 264-VT4","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.2 kg","","","","","","","","","","13.08.2024","ja","0.00","0.00","0.00","","ATI","150","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004640","W","ATi AGP Rage 128 pro w/32Mb","","","","","","","2","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","550 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","ATI","170","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006481","W","ATI ATI-102-A676 Radeon X1300 Pro 256MB PCIe","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1 kg","","","","","","","","","","23.05.2024","ja","0.00","0.00","0.00","","ATI","180","130","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003985","W","ATI ATI 102 -C26405(B)","","","","","","","3","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.2 kg","","","","","","","","","","28.01.2020","ja","0.00","0.00","0.00","","AMD","180","80","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006573","W","ATI B403","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.3 kg","","","","","","","","","","13.06.2024","ja","0.00","0.00","0.00","","ATI","170","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005257","W","ATI CW16800-A/ATI vesa","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0.5 kg","","","","22.03.2023","","","","","","17.02.2023","ja","0.00","0.00","0.00","","ATI","140","20","130","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004686","W","AT i FireGL V3100, 128MB","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500 kg","","","","","","","","","","04.05.2022","ja","0.00","0.00","0.00","","ATI","180","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004008","W","ATI FireGL V3350","","","","","","","3","0","Stck","0.00","0.00","20.00","60.00","0.00","0.00","0.00","0.45 kg","","","","","","","","","","22.03.2021","ja","0.00","0.00","0.00","","ATI","180","125","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","60.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001174","W","ATI FireGL V3400","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.45 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ATI","180","125","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004082","W","ATI FirePro V5700 Grafikkarte (PCI-e, 512MB GDDR3 Speicher, 256 Bit, 2X DVI-I, 1 GPU)","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","0.55 kg","","","","","","","","","","29.04.2021","ja","0.00","0.00","0.00","","ATI","183","128","24","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006245","W","ATI Graphics Ultra Pro VLB","","","","","","","0","0","Stck","0.00","0.00","85.00","0.00","0.00","0.00","0.00","0.4 kg","","","","13.03.2024","","","","","","17.02.2024","ja","0.00","0.00","0.00","","ATI","245","105","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004020","W","ATI Graphics Xpression Mach64 ISA 16bit","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","15.02.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"004020","W","ATI Graphics Xpression Mach64 ISA 16bit","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","16.02.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004019","W","ATI Mach32 1090019340 ISA 16 bit","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","0 kg","","","","15.02.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"004019","W","ATI Mach32 1090019340 ISA 16 bit","","","","","","","0","0","Stck","0.00","0.00","30.00","0.00","0.00","0.00","0.00","0 kg","","","","16.02.2021","","","","","","15.02.2021","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006288","W","ATI MACH64 109-25500-40","","","","","","","1","0","Stck","0.00","0.00","20.00","20.00","0.00","0.00","0.00","0.15 kg","","","","23.01.2025","","","","","","29.02.2024","ja","0.00","0.00","0.00","","ATI","180","20","130","","","","","","","",""
"","","","","","","","","","","","","","0.00","","20.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006286","W","ATI Mach 64 VT","","","","","","","1","0","Stck","0.00","0.00","20.00","20.00","0.00","0.00","0.00","0.15 kg","","","","09.03.2024","","","","","","29.02.2024","ja","0.00","0.00","0.00","","ATI","160","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","20.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004022","W","ATI Mach8 Graphics Ultra","","","","","","","0","0","Stck","0.00","0.00","35.00","0.00","0.00","0.00","0.00","0.2 kg","","","","15.02.2021","","","","","","16.02.2021","ja","0.00","0.00","0.00","","ATI","170","125","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004684","W","ATi Radeon 102A7710400, 256MB","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500 kg","","","","","","","","","","04.05.2022","ja","0.00","0.00","0.00","","ATI","180","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000558","W","ATI Radeon 3902C069, AGP, DVI","","","","","","","0","0","Stck","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0 kg","","","","11.05.2021","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004639","W","ATi Radeon 7000DDR 1027850900","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","550 kg","","","","","","","","","","15.03.2022","ja","0.00","0.00","0.00","","ATI","180","120","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006251","W","Ati Radeon 7500 D33011","","","","","","","1","0","Stck","0.00","0.00","20.00","20.00","0.00","0.00","0.00","0.23 kg","","","","09.03.2024","","","","","","20.02.2024","ja","0.00","0.00","0.00","","ATI","180","110","22","","","","","","","",""
"","","","","","","","","","","","","","0.00","","20.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000003","W","ATI Radeon 9000","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","05.11.2019","ja","0.00","0.00","0.00","","ATI","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000732","W","ATI Radeon 9200LE für Mac","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.2 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ATI","180","130","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004872","W","ATI Radeon 9200 SE","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1 kg","","","","","","","","","","23.06.2022","ja","0.00","0.00","0.00","","ATI","175","120","25","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004887","W","ATI RADEON 9200 SE 128MB","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.4 kg","","","","","","","","","","28.06.2022","ja","0.00","0.00","0.00","","ATI","140","60","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004886","W","ATI Radeon 9600 128MB DDR","","","","","","","1","0","Stck","0.00","0.00","45.00","45.00","0.00","0.00","0.00","0.4 kg","","","","","","","","","","28.06.2022","ja","0.00","0.00","0.00","","ATI","180","100","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","45.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005859","W","ATI Radeon 9600 256MB DDR","","","","","","","1","0","Stck","0.00","0.00","50.00","50.00","0.00","0.00","0.00","0.4 kg","","","","29.08.2024","","","","","","29.08.2023","ja","0.00","0.00","0.00","","ATI","180","100","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","50.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004083","W","ATI Radeon 9600 XT 109-A58503-20 für Apple Powermac G5","","","","","","","2","0","Stck","0.00","0.00","70.00","140.00","0.00","0.00","0.00","0.25 kg","","","","27.07.2023","","","","","","29.04.2021","ja","0.00","0.00","0.00","","ATI","180","130","23","","","","","","","",""
"","","","","","","","","","","","","","0.00","","140.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004637","W","ATi Radeon 9800 pro, 102A0751600","","","","","","","1","0","Stck","0.00","0.00","60.00","60.00","0.00","0.00","0.00","550 kg","","","","03.09.2023","","","","","","15.03.2022","ja","0.00","0.00","0.00","","ATI","200","130","20","","","","","","","",""
"","","","","","","","","","","","","","0.00","","60.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004683","W","ATI Radeon HD 2400 Pro 102B1701300","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500 kg","","","","","","","","","","04.05.2022","ja","0.00","0.00","0.00","","Aten","180","120","20","","","","","","","",""
